,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,
,,,," 555,720.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,125367.93,,, ,,,1125.21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payroll ,Nov-24,, ,,,,,, ,,,,, ,,,,,,,,,,,,26.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,C,,,,A,,,,1440, ,,,, ,,,,,,,,,B,A-B-C,,,,,   , ,,,,,,,,,,,,,,,,,,,,
Staff No,Name,Pin No,Basic,Bonus/Comm   ,Fringe benefit Loan-non cash,Transport/Hse Allowance,Arrears,Salary Arrears/OT/Others,Gross Salary,Voluntary pension Contribution,Defined Pension contribution,NSSF-T1,NSSF-T2,SHIF,Taxable pay,Gross PAYE,House levy,Advances,HELB,Company loan,Bank loan,SACCO,Personal Relief,NHIF Relief,AHL Relief,Net PAYE,Total Deductions,Net Pay,EMPLOYER PENSION,TOTAL PENSION,Variance,NITA, NP as per payslip ,Variance,,,HOUSE LEVY,GROSS,,,Leave,,,Category,,,Category,Qty, Basic ,,,,,
,,,,,,,,,," 22,028.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1019,A00000000Z19," 52,559.75 ",," 1,499.72 ",,,," 54,059.46 ",," 2,627.99 ", 420.00 ," 1,740.00 "," 1,445.39 "," 49,271.47 "," 9,564.24 ", 780.09 ,," 2,000.00 ",,,," (2,400.00)",, (117.01)," 7,047.23 "," 16,060.70 "," 36,499.05 "," 6,995.97 "," 11,363.96 ", 7.06 ,50," 36,491.99 ", 7.06 ," 10,719.36 "," 3,672.13 ", 780.09 ," 52,559.75 "," 70,467.52 ","-33,968.47 ",," 11,363.96 ",,Technical,1," 49,938.00 ",,,,, 117.01 ,,,
20,1020,A00000000Z20," 52,582.89 ",," 1,500.00 ", -   ,,," 54,082.89 ",," 2,629.14 ", 420.00 ," 1,740.00 "," 1,446.03 "," 49,293.75 "," 9,570.93 ", 788.75 ,," 4,000.00 ",,,," (2,400.00)",, (118.31)," 7,052.61 "," 18,076.53 "," 34,506.36 "," 6,998.29 "," 11,367.43 ",-0.00 ,50," 34,506.36 ", (0.00)," 10,903.52 "," 3,850.90 ", 788.75 ," 52,582.89 "," 68,497.19 ","-33,990.83 ",," 3,114.77 ",,Technical,1," 49,960.00 ",,,,, 118.31 ,,,
21,1021,A00000000Z21," 47,802.45 ",," 1,500.00 ",,,," 49,302.45 ",," 2,390.12 ", 420.00 ," 1,740.00 "," 1,314.57 "," 44,752.32 "," 8,208.50 ", 717.04 ,," 2,000.00 ",,,," (2,400.00)",, (107.56)," 5,700.94 "," 14,282.67 "," 33,519.78 "," 6,520.24 "," 10,650.37 ", -   ,50," 33,519.78 ", -   ," 9,253.36 "," 3,552.42 ", 717.04 ," 47,802.45 "," 64,365.50 ","-30,845.72 ",," 1,719.67 ",,Technical,1," 45,418.00 ",,,,, 107.56 ,,,
22,1022,A00000000Z22," 47,802.18 ",," 1,500.00 ",,,," 49,302.18 ",," 2,390.11 ", 420.00 ," 1,740.00 "," 1,314.56 "," 44,752.07 "," 8,208.42 ", 717.03 ,,,,,," (2,400.00)",, (107.55)," 5,700.87 "," 12,282.57 "," 35,519.61 "," 6,520.22 "," 10,650.33 ", -   ,50," 35,519.61 ", -   ," 11,256.43 "," 5,555.56 ", 717.03 ," 47,802.18 "," 66,387.08 ","-30,867.46 ",," 1,716.33 ",,Technical,1," 45,417.75 ",,,,, 107.55 ,,,
23,,A00000000Z23, -   ,,,,,, -   ,,,,,, -   , -   , -   ,,,,,,,,, -   , -   , -   ,,, -   ,50,,," 6,229.96 "," 6,229.96 ",-22.50 , -   ," 66,365.43 ","-66,365.43 ",, -   ,,Technical,1," 45,417.75 ",,,,, -   ,,,
24,,A00000000Z24,,, -   ,,,, -   ,, -   ,,, -   , -   , -   , -   ,,,,,,,, -   , -   , -   , -   ,,, -   ,50,,," 6,229.96 "," 6,229.96 ", -   , -   ," 60,176.68 ","-60,176.68 ",, -   ,,Technical,1," 45,417.75 ",,,,, -   ,,,
25,1025,A00000000Z25," 47,802.18 ",," 1,493.18 ",,,," 49,295.36 ",, -   , 420.00 ," 1,740.00 "," 1,314.56 "," 47,135.36 "," 8,923.41 ", 717.03 ,, -   ,,,," (4,740.00)",, (107.55)," 4,075.85 "," 8,267.45 "," 39,534.74 ",,, -   ,50," 39,534.74 ", -   ," 6,229.09 "," 2,153.24 ", 717.03 ," 47,802.18 "," 62,954.94 ","-23,420.20 ",,"-8,252.70 ",,Technical,1," 45,417.75 ",,,,, 107.55 ,,,
26,1026,A00000000Z26," 44,415.50 ",," 1,500.00 ",,,," 45,915.50 ",," 2,220.78 ", 420.00 ," 1,740.00 "," 1,221.43 "," 41,534.73 "," 7,243.22 ", 666.23 ,," 2,500.00 ",,,," (2,400.00)",, (99.93)," 4,743.28 "," 13,511.72 "," 30,903.78 "," 6,181.55 "," 10,142.33 ", -   ,50," 30,903.78 ", -   ," 6,146.17 "," 1,402.89 ", 666.23 ," 44,415.50 "," 61,304.60 ","-30,400.82 ",," 1,889.66 ",,Technical,1," 42,200.00 ",,,,, 99.93 ,,,
27,1027,A00000000Z27," 44,415.50 ",," 1,500.00 ",,, -   ," 45,915.50 ",, -   , 420.00 ," 1,740.00 "," 1,221.43 "," 43,755.50 "," 7,909.45 ", 666.23 ,,,,,," (2,400.00)",, (99.93)," 5,409.52 "," 9,457.17 "," 34,958.33 ",,, -   ,50," 34,958.33 ", -   , -   ,"-5,409.52 ", 666.23 ," 44,415.50 "," 34,468.20 ", 490.13 ,,"-8,252.66 ",,Technical,1," 42,200.00 ",,,,, 99.93 ,,,
28,1028,A00000000Z28," 44,415.50 ",," 1,350.00 ",,,," 45,765.50 ",, -   , 420.00 ," 1,740.00 "," 1,221.43 "," 43,605.50 "," 7,864.45 ", 666.23 ,,,,,," (2,400.00)",, (99.93)," 5,364.52 "," 9,412.17 "," 35,003.33 ",,, -   ,50," 35,003.33 ", -   ,,, 666.23 ," 44,415.50 "," 34,468.20 ", 535.13 ,, -   ,,Technical,1," 42,200.00 ",,,,, 99.93 ,,,
29,1029,A00000000Z29," 44,415.50 ",," 1,500.00 ",,,," 45,915.50 ",, -   , 420.00 ," 1,740.00 "," 1,221.43 "," 43,755.50 "," 7,909.45 ", 666.23 ,,,,,," (2,400.00)",, (99.93)," 5,409.52 "," 9,457.17 "," 34,958.33 ",,, -   ,50," 34,958.33 ", -   ,,,,," 24,918.20 "," 10,040.13 ",, -   ,,Technical,1," 42,200.00 ",,,,, 99.93 ,,,
30,,A00000000Z30, -   ,, -   ,,,, -   ,,,,,, -   , -   , -   ,,,,,,,, -   , -   , -   , -   ,,, -   ,50, -   , -   ,,,,," 32,918.20 ","-32,918.20 ",, -   ,,Technical,1," 42,200.00 ",,,,, -   ,,,
31,1031,A00000000Z31," 143,447.99 ",," 2,090.40 ",,,," 145,538.39 ", -   ," 7,172.40 ", 420.00 ," 1,740.00 "," 3,944.82 "," 136,205.99 "," 35,644.60 "," 2,151.72 ",,,,," 15,000.00 "," (3,000.15)",, (322.76)," 32,321.69 "," 62,750.63 "," 80,697.36 "," 16,084.80 "," 24,997.20 ", -   ,50," 80,697.36 ", -   ," 29,135.86 ","-3,185.83 "," 2,151.72 "," 143,447.99 "," 178,174.29 ","-97,476.93 ",," 24,997.20 ",,Supervisor,1," 125,179.83 ",,,,, 322.76 ,,,
32,1032,A00000000Z32," 52,450.94 ",, 600.00 ," 5,437.22 ",," 10,728.60 "," 69,216.76 ",," 2,622.55 ", 420.00 ," 1,740.00 "," 1,442.40 "," 64,434.21 "," 14,113.06 ", 786.76 ," 15,000.00 ",,," 14,683.00 ",," (2,400.00)",, (118.01)," 11,595.05 "," 48,289.76 "," 20,327.00 "," 6,985.09 "," 11,347.64 ", -   ,50," 20,327.00 ", -   ," 15,963.73 "," 4,368.68 "," 1,029.25 "," 68,616.76 "," 82,257.76 ","-61,930.77 ",," 11,347.64 ",,MO,1," 49,834.63 ",,,,, 118.01 ,,,
